Name,Country,Category,Purpose,OrbitClass,OrbitType,Longitude,Mass,LaunchDate,Contractor,LaunchSite,LaunchVehicle,Grouped_Purpose
Beesat-7,Germany,Civil,Technology Demonstration,LEO,Sun-Synchronous,0.0,1,2021-03-22,Technical University Berlin,Baikonur Cosmodrome,Soyuz-2.1a,Technology Demonstration
Beesat-8,Germany,Civil,Technology Demonstration,LEO,Sun-Synchronous,0.0,1,2021-03-22,Technical University Berlin,Baikonur Cosmodrome,Soyuz-2.1a,Technology Demonstration
Beesat-9,Germany,Civil,Technology Development,LEO,Sun-Synchronous,0.0,1,2019-07-05,Technical University Berlin,Vostochny Cosmodrome,Soyuz-2.1b,Technology Development
Beidou 3M-1S,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,0.0,800,2015-07-25,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou 3M-2S,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,0.0,800,2015-07-25,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou 3-M1,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2017-11-05,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou 3-23,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2019-09-22,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou 3-24,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2019-09-22,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou 3-25,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2017-11-05,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 26,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-01-11,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 27,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-01-11,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 28,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-02-12,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 29,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-02-12,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 30,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-03-29,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 31,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-03-29,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 32,China,Military/Government,Navigation/Global Positioning,GEO,,110.0,800,2018-07-09,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3A,Navigation/Global Positioning
Beidou DW 33,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-07-29,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 34,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-07-29,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 35,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-08-24,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 36,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-08-24,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 37,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-09-19,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 38,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-09-19,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 39,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-10-15,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 40,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-10-15,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 41,China,Military/Government,Navigation/Global Positioning,GEO,,144.5,800,2018-11-01,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 42,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-11-18,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 43,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2018-11-18,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 44,China,Military/Government,Navigation/Global Positioning,GEO,,110.03,800,2019-04-20,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 45,China,Military/Government,Navigation/Global Positioning,GEO,,144.48,800,2019-05-17,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3C,Navigation/Global Positioning
Beidou DW 46,China,Military/Government,Navigation/Global Positioning,GEO,,105.99,800,2019-06-24,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 50,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2019-11-23,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 51,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2019-11-23,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 52,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2019-12-16,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 53,China,Military/Government,Navigation/Global Positioning,MEO,,0.0,800,2019-12-16,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
Beidou DW 55,China,Military/Government,Navigation/Global Positioning,GEO,,111.0,800,2020-06-23,Space Technology Research Institute (part of CASC),Xichang Satellite Launch Center,Long March 3B,Navigation/Global Positioning
BeijinGalaxy-1,China,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,166,2005-10-27,Tsinghua University/University of Surrey,Plesetsk Cosmodrome,Kosmos 3M,Earth Observation
Beiyou-1,China,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,50,2023-01-15,Changsha Tianyi,Taiyuan Launch Center,Long March 2D,Earth Observation
Bispectral InfraRed Detector 2 (Bird 2),Germany,Government/Civil,Earth Observation/Technology Development,LEO,Sun-Synchronous,0.0,92,2001-10-22,Deutsches Zentrum für Luft- und Raumfahrt,Satish Dhawan Space Centre,PSLV C3,Earth Observation
Birkeland ,Norway,Military,Earth Observation,LEO,Sun-Synchronous,0.0,10,2023-01-03,"Norwegian Defence Research Establishment (FFI)/Netherlands NLR, TNO)",Cape Canaveral,Falcon 9,Earth Observation
